,,,2020,,2016,,2012,,2008,
District,Incumbent,Party,Biden,Trump,Clinton,Trump,Obama,Romney,Obama,McCain
MO-02,Ann Wagner,(R),49.2,49.2,42.3,52.6,41.4,57.1,46.4,52.6
MO-03,Blaine Luetkemeyer,(R),31.3,66.8,28.1,67.1,36.1,62.0,42.8,55.8
MO-04,Vicky Hartzler,(R),31.9,66.0,29.3,65.3,36.4,61.2,41.9,56.5
MO-05,Emanuel Cleaver,(D),58.4,39.6,54.1,40.6,58.9,39.4,62.0,36.8
MO-06,Sam Graves,(R),35.0,63.3,31.7,63.1,37.9,60.0,43.1,55.3
MO-07,Billy Long,(R),28.1,70.0,24.7,70.4,30.3,67.6,35.3,63.1
MO-08,Jason Smith,(R),21.3,77.3,21.0,75.4,32.0,65.9,38.3,60.0
MS-01,Trent Kelly,(R),33.8,64.8,32.4,65.4,37.0,61.9,36.6,62.4
MS-02,Bennie Thompson,(D),63.7,35.2,63.6,35.1,66.4,33.0,64.2,35.2
MS-03,Michael Guest,(R),38.6,60.1,36.8,61.3,39.1,60.0,38.4,60.8
MS-04,Steven Palazzo,(R),30.3,68.3,28.2,69.4,31.2,67.6,31.1,67.9
MT-AL,Matt Rosendale,(R),40.6,56.9,35.9,56.5,41.7,55.4,47.3,49.5
NC-01,G.K. Butterfield,(D),53.9,45.3,54.7,43.6,57.1,42.4,56.6,43.1
NC-02,Deborah Ross,(D),64.3,34.0,60.3,35.9,57.0,41.7,58.7,40.7
NC-03,Greg Murphy,(R),37.7,60.9,36.5,61.0,40.5,58.6,42.5,57.0
NC-04,David Price,(D),66.6,32.2,65.2,31.9,63.2,35.7,64.6,34.8
NC-05,Virginia Foxx,(R),31.6,67.4,30.3,67.2,35.6,63.1,37.6,61.6
NC-06,Kathy Manning,(D),61.6,37.2,59.4,37.9,58.4,40.7,59.7,39.8
NC-07,David Rouzer,(R),40.7,58.1,38.7,58.6,41.9,57.2,43.7,55.8
NC-08,Richard Hudson,(R),46.1,52.5,44.1,53.2,47.3,51.8,48.0,51.5
NC-09,Dan Bishop,(R),45.5,53.4,43.2,53.7,44.2,54.9,45.8,53.7
NC-10,Patrick McHenry,(R),31.2,67.7,29.6,67.9,34.1,64.9,36.9,62.3
NC-11,Madison Cawthorn,(R),43.3,55.4,39.9,57.2,43.5,55.2,45.8,53.4
NC-12,Alma Adams,(D),70.1,28.5,67.3,29.5,66.5,32.6,67.0,32.5
NC-13,Ted Budd,(R),31.8,67.1,30.6,67.0,34.3,64.7,37.0,62.2
ND-AL,Kelly Armstrong,(R),31.9,65.5,27.7,64.1,38.9,58.7,44.6,53.3
NE-01,Mike Flood,(R),41.3,56.3,36.2,57.5,40.8,57.5,44.2,54.3
NE-02,Don Bacon,(R),52.2,45.7,46.0,48.2,45.7,52.8,50.0,48.8
NE-03,Adrian Smith,(R),22.4,75.6,20.0,74.9,27.8,70.2,31.1,67.1
NH-01,Chris Pappas,(D),52.2,46.2,46.6,48.2,50.2,48.6,52.8,46.4
NH-02,Annie Kuster,(D),53.5,44.8,48.6,46.2,54.2,44.5,56.0,43.1
NJ-01,Donald Norcross,(D),62.1,36.6,60.6,36.1,65.1,33.8,64.7,34.2
NJ-02,Jeff Van Drew,(R),47.9,50.8,46.0,50.6,53.5,45.4,53.2,45.5
NJ-03,Andy Kim,(D),49.2,49.4,45.2,51.4,51.8,47.2,51.1,47.7
NJ-04,Chris Smith,(R),44.1,54.6,41.0,55.8,44.7,54.2,45.3,53.6
NJ-05,Josh Gottheimer,(D),51.9,46.7,47.7,48.8,47.9,50.9,48.5,50.5
NJ-06,Frank Pallone,(D),57.2,41.5,56.2,40.6,61.4,37.4,58.4,40.5
NJ-07,Tom Malinowski,(D),54.2,44.3,48.6,47.5,46.3,52.5,47.2,51.6
NJ-08,Albio Sires,(D),71.8,27.2,75.7,21.5,78.3,20.8,73.2,26.0
NJ-09,Bill Pascrell,(D),62.2,36.8,64.3,33.1,68.4,30.8,64.0,35.2
NJ-10,Donald Payne,(D),84.2,15.0,85.2,12.8,87.9,11.5,84.9,14.6
NJ-11,Mikie Sherrill,(D),52.7,46.0,47.9,48.8,46.6,52.4,47.0,52.1
NJ-12,Bonnie Watson Coleman,(D),67.3,31.4,65.0,31.8,66.5,32.4,65.7,33.3
NM-01,Melanie Stansbury,(D),60.2,37.4,51.6,35.1,55.3,39.6,59.7,39.0
NM-02,Yvette Herrell,(R),43.1,54.9,39.9,50.1,44.9,51.7,48.4,50.2
NM-03,Teresa Leger Fernandez,(D),57.7,40.1,51.8,36.7,57.5,38.7,61.2,37.5
NV-01,Dina Titus,(D),61.5,36.4,61.6,32.6,65.6,32.4,64.5,33.0
NV-02,Mark Amodei,(R),43.6,53.6,39.7,52.0,44.8,52.9,49.4,48.2
NV-03,Susie Lee,(D),49.1,48.9,46.5,47.5,49.5,48.7,53.5,44.6
NV-04,Steven Horsford,(D),50.9,47.0,49.5,44.6,54.4,43.7,56.4,41.4
NY-01,Lee Zeldin,(R),47.3,51.5,42.2,54.5,49.6,49.1,51,48
NY-02,Andrew Garbarino,(R),47.4,51.4,43.9,53.0,51.6,47.2,51,48
NY-03,Tom Suozzi,(D),54.7,44.3,51.6,45.5,50.8,48.2,54,46
NY-04,Kathleen Rice,(D),55.6,43.4,53.4,43.8,56.3,42.8,55,44
NY-05,Gregory Meeks,(D),83.3,16.2,85.7,12.7,90.6,9.1,86,14
NY-06,Grace Meng,(D),61.8,37.4,65.1,32.1,67.8,31.0,63,36
NY-07,Nydia Velázquez,(D),81.8,17.3,86.9,10.4,88.4,10.3,84,15
NY-08,Hakeem Jeffries,(D),82.9,16.5,84.6,13.5,89.3,10.1,86,14
NY-09,Yvette Clarke,(D),81.4,17.8,83.5,14.4,85.3,13.8,84,15
NY-10,Jerry Nadler,(D),76.1,22.9,78.3,18.8,73.6,25.0,76,23
NY-11,Nicole Malliotakis,(R),44.3,54.8,43.8,53.6,51.6,47.3,48,51
NY-12,Carolyn Maloney,(D),84.1,14.8,83.3,13.5,76.9,21.5,80,19
NY-13,Adriano Espaillat,(D),88.1,11.1,92.3,5.4,94.6,4.6,93,6
NY-14,Alexandria Ocasio-Cortez,(D),73.3,25.9,77.7,19.8,80.7,18.3,76,23
NY-15,Ritchie Torres,(D),86.4,13.0,93.8,4.9,96.7,3.0,95,5
NY-16,Jamaal Bowman,(D),75.3,23.8,75.1,22.5,73.7,25.5,73,26
NY-17,Mondaire Jones,(D),59.6,39.4,58.6,38.4,57.1,41.8,58,41
NY-18,Sean Patrick Maloney,(D),51.8,46.8,47.1,49.0,51.4,47.1,52,47
NY-19,Pat Ryan,(D),49.8,48.3,44.0,50.8,52.1,45.9,53,45
NY-20,Paul Tonko,(D),59.3,38.7,54.0,40.5,59.2,38.8,58,40
NY-21,Elise Stefanik,(R),43.8,54.2,40.0,53.9,52.2,46.1,52,47
NY-22,Claudia Tenney,(R),43.2,54.7,39.3,54.8,48.8,49.2,49,49
NY-23,Joe Sempolinski,(R),43.3,54.5,39.7,54.5,48.4,49.6,50,49
NY-24,John Katko,(R),53.4,44.4,48.9,45.3,57.0,41.1,56,42
